t	u	y
463.5	71.46060526	100.0780461
464	71.46060526	97.05244762
464.5	71.46060526	101.2490107
465	71.46060526	94.81685792
465.5	71.46060526	99.66270431
466	71.46060526	95.60695138
466.5	71.46060526	99.5842424
467	71.46060526	108.3830497
467.5	71.46060526	108.0577529
468	71.46060526	103.8734416
468.5	71.46060526	107.8238071
469	71.46060526	109.5028636
469.5	71.46060526	107.44902
470	71.46060526	110.4293025
470.5	71.46060526	110.132619
471	71.46060526	107.3470981
471.5	71.46060526	101.2591871
472	71.46060526	104.4230025
472.5	71.46060526	107.6732292
473	71.46060526	107.5895363
473.5	71.46060526	104.1289998
474	71.46060526	103.0173618
